state,township,admin3_pcode,vul_score,conflict_score,insecure_pc,insecure_persons,IDPs,population,conflict_affected,pre_ex_vulnerable,vul_pop,vul_pop_score,caseload,caseload_pc,PIN,pc_pin,pc_pop
Bago,Paukkhaung,MMR008002,0.484518252,0.004143927,28.62,1411157,0,127549.4811,528.5556906,61800.05161,61800.05161,0.484518252,61800.05161,0.035247874,49740.28369,0.032984907,0.38996853
Bago,Padaung,MMR008003,0.341683121,0.011722198,28.62,1411157,0,149187.8096,1748.809002,50974.95638,50974.95638,0.341683121,50974.95638,0.029073743,41027.61608,0.027207165,0.275006491
Bago,Paungde,MMR008004,0.401715193,0.050950111,28.62,1411157,0,142452.0253,7257.946568,57225.14288,57225.14288,0.401715193,57225.14288,0.032638559,46058.13048,0.030543114,0.323323802
Bago,Thegon,MMR008005,0.357697227,0.014157259,28.62,1411157,0,136274.9731,1929.280129,48745.17994,48745.17994,0.357697227,48745.17994,0.027801982,39232.96203,0.026017053,0.287895577
Bago,Shwedaung,MMR008006,0.343936205,0.007439837,28.62,1411157,0,126700.8498,942.6336175,43577.00951,43577.00951,0.343936205,43577.00951,0.024854298,35073.31723,0.023258615,0.276819905
Bago,Thayarwady,MMR008007,0.351902139,0.014910852,28.62,1411157,0,154502.9572,2303.770798,54369.92113,54369.92113,0.351902139,54369.92113,0.031010073,43760.08159,0.02901918,0.283231353
Bago,Letpadan,MMR008008,0.372915854,0.005381552,28.62,1411157,0,181224.3863,975.2685447,67581.44675,67581.44675,0.372915854,67581.44675,0.038545312,54393.48748,0.036070646,0.300144415
Bago,Minhla,MMR008009,0.325487301,0.009433202,28.62,1411157,0,125868.8135,1187.345965,40968.70038,40968.70038,0.325487301,40968.70038,0.02336664,32973.99801,0.021866467,0.261971152
Bago,Okpho,MMR008010,0.33377425,0.022186265,28.62,1411157,0,130228.6517,2889.287348,43466.97053,43466.97053,0.33377425,43466.97053,0.024791537,34984.75144,0.023199883,0.268640971
Bago,Zigon,MMR008011,0.273447432,0.004178631,28.62,1411157,0,70193.80134,293.3140269,19194.31474,19194.31474,0.273447432,19194.31474,0.010947544,15448.70328,0.010244695,0.220086432
Bago,Nattalin,MMR008012,0.328675207,0.04893497,28.62,1411157,0,178137.11,8717.134147,58549.25143,58549.25143,0.328675207,58549.25143,0.033393769,47123.85022,0.031249839,0.264536964
Bago,Monyo,MMR008013,0.415313646,0.015401767,28.62,1411157,0,131403.2926,2023.842907,54573.58049,54573.58049,0.415313646,54573.58049,0.031126231,43923.99852,0.02912788,0.334268629
Bago,Gyobingauk,MMR008014,0.299736636,0.02543388,28.62,1411157,0,121787.3544,3097.524901,36504.13195,36504.13195,0.299736636,36504.13195,0.020820258,29380.65312,0.019483566,0.241245516
Chin,Falam,MMR004001,0.593225663,0.178440314,61.3,300497,2269,53870.41165,9612.653183,31957.31066,31957.31066,0.593225663,34226.31066,0.086922504,28388.95168,0.074659435,0.52698598
Chin,Tedim,MMR004004,0.68858969,0.08664071,61.3,300497,20,98125.99012,8501.705462,67568.54508,67568.54508,0.68858969,67588.54508,0.171650566,51600.47998,0.135702887,0.525859458
Chin,Tonzang,MMR004005,0.851633988,0.005426226,61.3,300497,357,35660.42705,193.5015287,30369.63169,30369.63169,0.851633988,30726.63169,0.07803458,23806.15708,0.062607252,0.667579136
Chin,Hakha,MMR004002,0.353139591,0.230711235,61.3,300497,12270,54189.56114,12502.14056,19136.47948,19136.47948,0.353139591,31406.47948,0.079761148,36237.98576,0.095301425,0.668726319
Chin,Thantlang,MMR004003,0.521518518,0.151563703,61.3,300497,27439,56507.12685,8564.429372,29469.51307,29469.51307,0.521518518,56908.51307,0.14452713,70868.96903,0.186376633,1.254159838
Chin,Matupi,MMR004007,0.509528138,0.202525161,61.3,300497,12624,57597.89583,11665.02314,29347.74862,29347.74862,0.509528138,41971.74862,0.106593127,44654.91495,0.117436909,0.775287262
Chin,Paletwa,MMR004009,0.610364036,0.07958974,61.3,300497,2575,108375.6828,8625.592451,66148.61915,66148.61915,0.610364036,68723.61915,0.174533245,55021.71649,0.144700316,0.507694301
Chin,Mindat,MMR004006,0.56563329,0.288488763,61.3,300497,13685,47623.78854,13738.92783,26937.60017,26937.60017,0.56563329,40622.60017,0.103166776,44686.3067,0.117519466,0.938319022
Chin,Kanpetlet,MMR004008,0.544081442,0.118831753,61.3,300497,8510,24026.116,2855.065472,13072.16384,13072.16384,0.544081442,21582.16384,0.054810924,24980.51832,0.065695677,1.039723538
