state,State/Region Pcode,District, Township ,Township Pcode,,Population,"IDPs 
(projection)","Returned, resettled and locally integrated IDPs
(projection)","Non-displaced stateless people in Rakhine
",Rest of the population
Tanintharyi,MMR006,Myeik,Palaw,MMR006007,MMR006007,140533.9285,6384,1213,,132936.9285
Tanintharyi,MMR006,Myeik,Tanintharyi,MMR006008,MMR006008,114700.5616,13400,2546,,98754.56162
Tanintharyi,MMR006,Kawthoung,Kawthoung,MMR006009,MMR006009,151222.1748,0,0,,151222.1748
Tanintharyi,MMR006,Kawthoung,Bokpyin,MMR006010,MMR006010,87247.52526,614,117,,86516.52526
Bago (East),MMR111,Bago,Bago,MMR007001,MMR007001,500087.8011,5001,950,,494136.8011
Bago (East),MMR111,Bago,Thanatpin,MMR007002,MMR007002,146303.6844,0,0,,146303.6844
Bago (East),MMR111,Bago,Kawa,MMR007003,MMR007003,199548.6958,0,0,,199548.6958
Bago (East),MMR111,Bago,Waw,MMR007004,MMR007004,177665.3708,0,0,,177665.3708
Bago (East),MMR111,Bago,Nyaunglebin,MMR007005,MMR007005,202766.4611,4501,855,,197410.4611
Bago (East),MMR111,Bago,Kyauktaga,MMR007006,MMR007006,252902.0255,1127,214,,251561.0255
Bago (East),MMR111,Bago,Daik-U,MMR007007,MMR007007,205038.5659,0,0,,205038.5659
Bago (East),MMR111,Bago,Shwegyin,MMR007008,MMR007008,107901.9179,191,36,,107674.9179
Bago (East),MMR111,Taungoo,Taungoo,MMR007009,MMR007009,267279.7629,4585,871,,261823.7629
Bago (East),MMR111,Taungoo,Yedashe,MMR007010,MMR007010,216257.8718,0,0,,216257.8718
Bago (East),MMR111,Taungoo,Kyaukkyi,MMR007011,MMR007011,113765.4305,72872,13846,,27047.4305
Bago (East),MMR111,Taungoo,Phyu,MMR007012,MMR007012,260566.6057,6001,1140,,253425.6057
Bago (East),MMR111,Taungoo,Oktwin,MMR007013,MMR007013,161706.9219,490,93,,161123.9219
Bago (East),MMR111,Taungoo,Htantabin,MMR007014,MMR007014,118503.832,2046,389,,116068.832
Bago (West),MMR111,Pyay,Pyay,MMR008001,MMR008001,259960.5467,0,0,,259960.5467
Bago (West),MMR111,Pyay,Paukkhaung,MMR008002,MMR008002,127549.4811,0,0,,127549.4811
Bago (West),MMR111,Pyay,Padaung,MMR008003,MMR008003,149187.8096,0,0,,149187.8096
Bago (West),MMR111,Pyay,Paungde,MMR008004,MMR008004,142452.0253,0,0,,142452.0253
Bago (West),MMR111,Pyay,Thegon,MMR008005,MMR008005,136274.9731,0,0,,136274.9731
Bago (West),MMR111,Pyay,Shwedaung,MMR008006,MMR008006,126700.8498,0,0,,126700.8498
Bago (West),MMR111,Thayarwady,Thayarwady,MMR008007,MMR008007,154502.9572,0,0,,154502.9572
Bago (West),MMR111,Thayarwady,Letpadan,MMR008008,MMR008008,181224.3863,0,0,,181224.3863
Bago (West),MMR111,Thayarwady,Minhla,MMR008009,MMR008009,125868.8135,0,0,,125868.8135
Bago (West),MMR111,Thayarwady,Okpho,MMR008010,MMR008010,130228.6517,0,0,,130228.6517
Bago (West),MMR111,Thayarwady,Zigon,MMR008011,MMR008011,70193.80134,0,0,,70193.80134
Bago (West),MMR111,Thayarwady,Nattalin,MMR008012,MMR008012,178137.11,0,0,,178137.11
Bago (West),MMR111,Thayarwady,Monyo,MMR008013,MMR008013,131403.2926,0,0,,131403.2926
Bago (West),MMR111,Thayarwady,Gyobingauk,MMR008014,MMR008014,121787.3544,0,0,,121787.3544
Magway,MMR009,Magway,Magway,MMR009001,MMR009001,289340.0722,2893,550,,285897.0722
Magway,MMR009,Magway,Yenangyaung,MMR009002,MMR009002,135718.7332,0,0,,135718.7332
Magway,MMR009,Magway,Chauk,MMR009003,MMR009003,186951.0271,0,0,,186951.0271
Magway,MMR009,Magway,Taungdwingyi,MMR009004,MMR009004,259436.6733,0,0,,259436.6733
Magway,MMR009,Magway,Myothit,MMR009005,MMR009005,158802.5751,0,0,,158802.5751
Magway,MMR009,Magway,Natmauk,MMR009006,MMR009006,207768.8621,3008,572,,204188.8621
Magway,MMR009,Minbu,Minbu,MMR009007,MMR009007,187750.2269,651,124,,186975.2269
Magway,MMR009,Minbu,Pwintbyu,MMR009008,MMR009008,163356.762,0,0,,163356.762
Magway,MMR009,Minbu,Ngape,MMR009009,MMR009009,51621.27462,516,98,,51007.27462
Magway,MMR009,Minbu,Salin,MMR009010,MMR009010,236364.9032,0,0,,236364.9032
Magway,MMR009,Minbu,Sidoktaya,MMR009011,MMR009011,47342.92736,473,90,,46779.92736
Magway,MMR009,Thayet,Thayet,MMR009012,MMR009012,104667.4419,0,0,,104667.4419
Magway,MMR009,Thayet,Minhla,MMR009013,MMR009013,144398.9653,0,0,,144398.9653
Magway,MMR009,Thayet,Mindon,MMR009014,MMR009014,60559.7256,0,0,,60559.7256
Magway,MMR009,Thayet,Kamma,MMR009015,MMR009015,75925.95121,759,144,,75022.95121
Magway,MMR009,Thayet,Aunglan,MMR009016,MMR009016,234670.6744,0,0,,234670.6744
Magway,MMR009,Thayet,Sinbaungwe,MMR009017,MMR009017,117212.3488,0,0,,117212.3488
Magway,MMR009,Pakokku,Pakokku,MMR009018,MMR009018,291599.0534,24114,4582,,262903.0534
Magway,MMR009,Pakokku,Yesagyo,MMR009019,MMR009019,216678.4559,16757,3184,,196737.4559
Magway,MMR009,Pakokku,Myaing,MMR009020,MMR009020,226800.541,15521,2949,,208330.541
Magway,MMR009,Pakokku,Pauk,MMR009021,MMR009021,170553.0521,17743,3371,,149439.0521
Magway,MMR009,Pakokku,Seikphyu,MMR009022,MMR009022,102300.0198,11412,2168,,88720.01979
Magway,MMR009,Gangaw,Gangaw,MMR009023,MMR009023,132980.7017,79955,15191,,37834.70167
Magway,MMR009,Gangaw,Tilin,MMR009024,MMR009024,49721.99928,18083,3436,,28202.99928
Magway,MMR009,Gangaw,Saw,MMR009025,MMR009025,69541.03261,31001,5890,,32650.03261
Mandalay,MMR010,Mandalay,Aungmyaythazan,MMR010001,MMR010001,287592.1048,2876,546,,284170.1048
Mandalay,MMR010,Mandalay,Chanayethazan,MMR010002,MMR010002,213578.5364,0,0,,213578.5364
Mandalay,MMR010,Mandalay,Mahaaungmyay,MMR010003,MMR010003,259905.3188,52,10,,259843.3188
Mandalay,MMR010,Mandalay,Chanmyathazi,MMR010004,MMR010004,305589.3494,3056,581,,301952.3494
Mandalay,MMR010,Mandalay,Pyigyitagon,MMR010005,MMR010005,254379.7842,51,10,,254318.7842
Mandalay,MMR010,Mandalay,Amarapura,MMR010006,MMR010006,257123.2448,51,10,,257062.2448
Mandalay,MMR010,Mandalay,Patheingyi,MMR010007,MMR010007,283288.2628,0,0,,283288.2628
Mandalay,MMR010,Pyinoolwin,Pyinoolwin,MMR010008,MMR010008,274996.5186,0,0,,274996.5186
Mandalay,MMR010,Pyinoolwin,Madaya,MMR010009,MMR010009,278347.7232,2783,529,,275035.7232
Mandalay,MMR010,Pyinoolwin,Singu,MMR010010,MMR010010,169738.0282,0,0,,169738.0282
Mandalay,MMR010,Pyinoolwin,Mogoke,MMR010011,MMR010011,180414.623,36,7,,180371.623
Mandalay,MMR010,Pyinoolwin,Thabeikkyin,MMR010012,MMR010012,174620.1513,0,0,,174620.1513
Mandalay,MMR010,Kyaukse,Kyaukse,MMR010013,MMR010013,278800.8742,0,0,,278800.8742
Mandalay,MMR010,Kyaukse,Sintgaing,MMR010014,MMR010014,161989.9581,1620,308,,160061.9581
Mandalay,MMR010,Kyaukse,Myittha,MMR010015,MMR010015,212126.596,0,0,,212126.596
Mandalay,MMR010,Kyaukse,Tada-U,MMR010016,MMR010016,151483.8607,0,0,,151483.8607
Mandalay,MMR010,Myingyan,Myingyan,MMR010017,MMR010017,301516.1511,60,11,,301445.1511
Mandalay,MMR010,Myingyan,Taungtha,MMR010018,MMR010018,236047.3456,0,0,,236047.3456
Mandalay,MMR010,Myingyan,Natogyi,MMR010019,MMR010019,193975.2962,1940,369,,191666.2962
Mandalay,MMR010,Nyaung-U,Kyaukpadaung,MMR010020,MMR010020,286462.3326,0,0,,286462.3326
Mandalay,MMR010,Myingyan,Ngazun,MMR010021,MMR010021,136169.5258,0,0,,136169.5258
Mandalay,MMR010,Nyaung-U,Nyaung-U,MMR010022,MMR010022,262457.1475,0,0,,262457.1475
Mandalay,MMR010,Yamethin,Yamethin,MMR010023,MMR010023,279744.2488,0,0,,279744.2488
Mandalay,MMR010,Yamethin,Pyawbwe,MMR010024,MMR010024,282657.8898,0,0,,282657.8898
Mandalay,MMR010,Meiktila,Meiktila,MMR010028,MMR010028,337339.1977,0,0,,337339.1977
