state,adm1_pcode,District,township,Township Pcode,Population,IDPs,IDP returnees/ resettled/ locally integrated ,"Non-displaced stateless people in Rakhine
",Rest of the population
Shan (South),MMR222,Langkho,Mongpan,MMR014021,29849.25954,400,,,29449.25954
Shan (North),MMR222,Lashio,Lashio,MMR015001,371388.5508,1536,5065,,364787.5508
Shan (North),MMR222,Lashio,Hseni,MMR015002,65280.11396,205,735,,64340.11396
Shan (North),MMR222,Lashio,Mongyai,MMR015003,68116.52227,,,,68116.52227
Shan (North),MMR222,Lashio,Tangyan,MMR015004,197348.4686,157,623,,196568.4686
Shan (North),MMR222,Matman,Pangsang (Panghkam),MMR015005,120299.3809,,,,120299.3809
Shan (North),MMR222,Matman,Narphan,MMR015006,131696.6474,,,,131696.6474
Shan (North),MMR222,Hopang,Pangwaun,MMR015007,110025.0106,,,,110025.0106
Shan (North),MMR222,Hopang,Mongmao,MMR015008,80323.67278,,,,80323.67278
Shan (North),MMR222,Muse,Muse,MMR015009,197071.281,2888,3245,,190938.281
Shan (North),MMR222,Muse,Namhkan,MMR015010,123118.5908,961,162,,121995.5908
Shan (North),MMR222,Muse,Kutkai,MMR015011,199360.5261,4725,2551,,192084.5261
Shan (North),MMR222,Kyaukme,Kyaukme,MMR015012,198633.363,4139,13459,,181035.363
Shan (North),MMR222,Kyaukme,Nawnghkio,MMR015013,172062.7247,650,780,,170632.7247
Shan (North),MMR222,Kyaukme,Hsipaw,MMR015014,202489.3466,120,18572,,183797.3466
Shan (North),MMR222,Kyaukme,Namtu,MMR015015,58159.48357,606,9901,,47652.48357
Shan (North),MMR222,Pa Laung Self-Administered Zone,Namhsan,MMR015016,83056.83708,0,3291,,79765.83708
Shan (North),MMR222,Mongmit,Mongmit,MMR015017,72968.6042,0,708,,72260.6042
Shan (North),MMR222,Mongmit,Mabein,MMR015018,54350.3099,,,,54350.3099
Shan (North),MMR222,Pa Laung Self-Administered Zone,Manton,MMR015019,44077.3552,159,,,43918.3552
Shan (North),MMR222,Lashio,Kunlong,MMR015020,67040.90435,0,634,,66406.90435
Shan (North),MMR222,Hopang,Hopang,MMR015021,69851.26625,,,,69851.26625
Shan (North),MMR222,Kokang Self-Administered Zone,Laukkaing,MMR015022,107921.61,1000,,,106921.61
Shan (North),MMR222,Kokang Self-Administered Zone,Konkyan,MMR015023,68384.39343,,,,68384.39343
Shan (North),MMR222,Matman,Matman,MMR015024,22408.5248,,,,22408.5248
Shan (East),MMR222,Kengtung,Kengtung,MMR016001,197598.4783,,,,197598.4783
Shan (East),MMR222,Kengtung,Mongkhet,MMR016002,50803.44709,,,,50803.44709
Shan (East),MMR222,Kengtung,Mongyang,MMR016003,123452.9105,,,,123452.9105
Shan (East),MMR222,Kengtung,Mongla,MMR016005,49509.03377,,,,49509.03377
Shan (East),MMR222,Monghsat,Monghsat,MMR016006,118612.6231,,,,118612.6231
Shan (East),MMR222,Kengtung,Mongping,MMR016007,78632.49615,,,,78632.49615
Shan (East),MMR222,Monghsat,Mongton,MMR016008,79770.72738,,,,79770.72738
Shan (East),MMR222,Tachileik,Tachileik,MMR016009,204066.2156,,,,204066.2156
Shan (East),MMR222,Tachileik,Monghpyak,MMR016010,35130.44124,,,,35130.44124
Shan (East),MMR222,Tachileik,Mongyawng,MMR016011,92607.29633,,,,92607.29633
Ayeyarwady,MMR017,Pathein,Pathein,MMR017001,385609.1242,,,,385609.1242
Ayeyarwady,MMR017,Pathein,Kangyidaunt,MMR017002,179066.7477,,,,179066.7477
Ayeyarwady,MMR017,Pathein,Thabaung,MMR017003,155584.4275,,,,155584.4275
Ayeyarwady,MMR017,Pathein,Ngapudaw,MMR017004,327127.6112,,,,327127.6112
Ayeyarwady,MMR017,Pathein,Kyonpyaw,MMR017005,239189.2437,,,,239189.2437
Ayeyarwady,MMR017,Pathein,Yegyi,MMR017006,197932.3144,,,,197932.3144
Ayeyarwady,MMR017,Pathein,Kyaunggon,MMR017007,165155.2668,,,,165155.2668
